"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"southeast",57186,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57193,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57197,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57198,"sioux falls","minnehaha",43.54,-96.73,183793
"northeast",57061,"sinai","brookings",44.24,-97.04,124
"northeast",57473,"seneca","faulk",45.06,-99.51,37
"central",57472,"selby","walworth",45.51,-100.03,627
"southeast",57059,"scotland","bon homme",43.15,-97.72,804
"west",57780,"scenic","pennington",43.7796797321183,-102.554879904907,NA
"southeast",57058,"salem","mccook",43.72,-97.39,1285
"west",57779,"saint onge","lawrence",44.55,-103.72,NA
"northeast",57373,"saint lawrence","hand",44.52,-98.94,NA
"west",57572,"saint francis","todd",43.14,-100.9,NA
"central",57571,"saint charles","gregory",43.09,-99.09,NA
"southeast",57057,"rutland","lake",44.0895508930907,-96.9670791645685,NA
"northeast",57261,"roslyn","day",45.5,-97.49,168
"northeast",57260,"rosholt","roberts",45.87,-96.73,429
"west",57570,"rosebud","todd",43.24,-100.82,NA
"northeast",57471,"roscoe","edmunds",45.45,-99.34,289
"northeast",57470,"rockham","faulk",44.9,-98.82,33
"central",57652,"ridgeview","dewey",45.0850111129548,-100.800635299866,NA
"northeast",57259,"revillo","grant",45.02,-96.57,105
"west",57651,"reva","harding",45.5452403569356,-103.084466468196,NA
"southeast",57055,"renner","minnehaha",43.645337527329,-96.7113806998142,NA
"central",57569,"reliance","lyman",43.88,-99.6,212
"northeast",57371,"ree heights","hand",44.52,-99.2,58
"west",57776,"redig","harding",45.2714936344637,-103.548375168786,NA
"northeast",57469,"redfield","spink",44.87,-98.52,2273
"northeast",57258,"raymond","clark",44.91,-97.94,54
"west",57701,"rapid city","pennington",44.07,-103.22,77503
"west",57702,"rapid city","pennington",44.07,-103.22,77503
"west",57703,"rapid city","pennington",44.07,-103.22,77503
"west",57709,"rapid city","pennington",44.07,-103.22,77503
"southeast",57054,"ramona","lake",44.12,-97.22,206
"west",57650,"ralph","harding",45.7768742336214,-103.066218498375,NA
"west",57775,"quinn","pennington",43.99,-102.13,61
"central",57370,"pukwana","brule",43.78,-99.18,305
"west",57773,"pringle","custer",43.61,-103.59,113
"central",57568,"presho","lyman",43.91,-100.06,489
"west",57649,"prairie city","perkins",45.530210032312,-102.807880244477,NA
"west",57772,"porcupine","oglala lakota",43.27,-102.34,NA
"central",57648,"pollock","campbell",45.9,-100.29,225
"central",57369,"platte","charles mix",43.39,-98.84,1258
"central",57368,"plankinton","aurora",43.72,-98.48,730
"west",57770,"pine ridge","oglala lakota",43.03,-102.55,NA
"central",57501,"pierre","hughes",44.37,-100.32,NA
"northeast",57468,"pierpont","day",45.5,-97.83,120
"west",57769,"piedmont","meade",44.22,-103.38,903
"central",57367,"pickstown","charles mix",43.0673170111043,-98.5312430223111,223
"west",57567,"philip","haakon",44.04,-101.66,765
"northeast",57257,"peever","roberts",45.54,-96.96,164
"west",57566,"parmelee","todd",43.32,-101.04,NA
"southeast",57366,"parkston","hutchinson",43.39,-97.99,1477
"southeast",57053,"parker","turner",43.4,-97.13,1023
"west",57767,"owanka","pennington",44.0223007904464,-102.587690532801,NA
"northeast",57256,"ortley","roberts",45.33,-97.2,64
"northeast",57467,"orient","hand",44.9,-99.09,NA
"west",57766,"oral","fall river",43.4051150320421,-103.268987928256,NA
"central",57564,"onida","sully",44.7,-100.07,634
"northeast",57466,"onaka","faulk",45.19,-99.47,14
"southeast",57052,"olivet","hutchinson",43.24,-97.67,71
"northeast",57051,"oldham","kingsbury",44.23,-97.31,120
"west",57563,"okreek","todd",43.35,-100.38,NA
"west",57562,"okaton","jones",43.86,-100.9,NA
"west",57764,"oglala","oglala lakota",43.18,-102.73,NA
"west",57763,"oelrichs","fall river",43.18,-103.23,123
"central",57365,"oacoma","lyman",43.8,-99.37,471
"southeast",57050,"nunda","lake",44.16,-97.02,51
"northeast",57465,"northville","spink",45.16,-98.58,145
"southeast",57049,"north sioux city","union",42.5365744123823,-96.4963464955279,2928
"west",57560,"norris","mellette",43.47,-101.19,NA
"west",57762,"nisland","butte",44.67,-103.55,225
"west",57760,"newell","butte",44.72,-103.42,597
"west",57761,"new underwood","pennington",44.1,-102.84,673
"southeast",57364,"new holland","douglas",43.43,-98.61,NA
"northeast",57255,"new effington","roberts",45.86,-96.92,249
"west",57759,"nemo","lawrence",44.194304760192,-103.504869109719,NA
"west",57559,"murdo","jones",43.89,-100.71,438
"west",57758,"mud butte","meade",45.0046185824886,-102.878055561397,NA
"southeast",57363,"mount vernon","davison",43.71,-98.26,436
"central",57646,"mound city","campbell",45.7263431449825,-100.068994841887,66
"central",57645,"morristown","corson",45.9378390740581,-101.719152880495,68
"southeast",57048,"montrose","mccook",43.7,-97.18,443
"southeast",57047,"monroe","turner",43.49,-97.22,155
"central",57601,"mobridge","walworth",45.54,-100.44,3444
"southeast",57301,"mitchell","davison",43.73,-98.03,15679
"southeast",57046,"mission hill","yankton",42.92,-97.28,164
"west",57555,"mission","todd",43.31,-100.66,1257
"northeast",57362,"miller","hand",44.52,-98.99,1334
"west",57553,"milesville","haakon",44.4580691439088,-101.679355339841,NA
"northeast",57252,"milbank","grant",45.22,-96.63,3103
"west",57552,"midland","haakon",44.07,-101.16,127
"southeast",57045,"menno","hutchinson",43.24,-97.58,614
"northeast",57461,"mellette","spink",45.15,-98.5,214
"west",57644,"meadow","perkins",45.5309941878083,-102.27249553942,NA
"central",57642,"mclaughlin","corson",45.8143482819614,-100.810824488523,653
"central",57641,"mcintosh","corson",45.9214885176607,-101.349859504386,167
"northeast",57251,"marvin","grant",45.26,-96.92,29
"central",57361,"marty","charles mix",43,-98.43,NA
"west",57551,"martin","bennett",43.18,-101.73,1045
"southeast",57043,"marion","turner",43.42,-97.26,780
"northeast",57460,"mansfield","brown",45.25,-98.56,NA
"west",57756,"manderson","oglala lakota",43.2351383242298,-102.470880292518,NA
"southeast",57042,"madison","lake",44.01,-97.11,7270
"southeast",57041,"lyons","minnehaha",43.7229410313699,-96.8714171913848,NA
"west",57755,"ludlow","harding",45.8343463857615,-103.376683389585,NA
"central",57548,"lower brule","lyman",44.07,-99.58,NA
"west",57547,"long valley","jackson",43.4631185498706,-101.495627371449,NA
"northeast",57457,"long lake","mcpherson",45.86,-99.21,31
"west",57640,"lodgepole","perkins",45.7723734218112,-102.646803584475,NA
"central",57639,"little eagle","corson",45.68,-100.8,NA
"northeast",57359,"letcher","sanborn",43.9,-98.14,176
"southeast",57040,"lesterville","yankton",43.04,-97.59,131
"northeast",57456,"leola","mcpherson",45.72,-98.94,427
"southeast",57039,"lennox","lincoln",43.35,-96.89,2479
"west",57638,"lemmon","perkins",45.94,-102.16,1174
"central",57455,"lebanon","potter",45.07,-99.77,43
"west",57754,"lead","lawrence",44.35,-103.77,2943
"central",57636,"lantry","dewey",45.0143937241708,-101.431758600017,NA
"northeast",57454,"langford","marshall",45.6,-97.83,326
"northeast",57358,"lane","jerauld",44.07,-98.42,60
"northeast",57249,"lake preston","kingsbury",44.36,-97.38,555
"northeast",57248,"lake norden","hamlin",44.58,-97.21,522
"northeast",57247,"lake city","marshall",45.7252331970597,-97.4132506903132,52
"central",57356,"lake andes","charles mix",43.16,-98.54,821
"northeast",57246,"labolt","grant",45.0507815571933,-96.6784308479709,NA
"west",57752,"kyle","oglala lakota",43.42,-102.18,NA
"northeast",57245,"kranzburg","codington",44.89,-96.91,174
"central",57355,"kimball","brule",43.75,-98.96,673
"west",57751,"keystone","pennington",43.9,-103.43,343
"central",57544,"kennebec","lyman",43.9,-99.86,247
"central",57634,"keldron","corson",45.9319753611175,-101.809625036678,NA
"southeast",57354,"kaylor","hutchinson",43.19,-97.84,NA
"west",57543,"kadoka","jackson",43.83,-101.51,717
"southeast",57038,"jefferson","union",42.6,-96.57,511
"central",57452,"java","walworth",45.5,-99.88,127
"central",57633,"isabel","dewey",45.39,-101.43,152
"northeast",57353,"iroquois","kingsbury",44.37,-97.85,259
"southeast",57037,"irene","clay",43.08,-97.16,406
"northeast",57451,"ipswich","edmunds",45.44,-99.03,891
"west",57750,"interior","jackson",43.73,-101.98,106
"central",57541,"ideal","tripp",43.543359121331,-99.9217250031238,NA
"northeast",57350,"huron","beadle",44.36,-98.21,13380
"northeast",57399,"huron","beadle",44.36,-98.21,13380
"southeast",57036,"hurley","turner",43.28,-97.09,399
"southeast",57035,"humboldt","minnehaha",43.64,-97.07,567
"southeast",57034,"hudson","lincoln",43.13,-96.46,345
"west",57748,"howes","meade",44.6185109925182,-102.051843490746,NA
"southeast",57349,"howard","miner",44.01,-97.52,757
"central",57450,"hoven","potter",45.24,-99.78,366
"northeast",57449,"houghton","brown",45.7629880738032,-98.2104228370448,NA
"west",57747,"hot springs","fall river",43.43,-103.48,3502
"northeast",57448,"hosmer","edmunds",45.58,-99.47,186
"central",57540,"holabird","hyde",44.5270410791622,-99.5983905896957,NA
"northeast",57348,"hitchcock","beadle",44.63,-98.41,95
"west",57745,"hill city","pennington",43.93,-103.57,1032
"central",57345,"highmore","hyde",44.52,-99.44,726
"central",57538,"herrick","gregory",43.12,-99.19,103
"central",57632,"herreid","campbell",45.84,-100.07,416
"west",57744,"hermosa","custer",43.84,-103.19,425
"northeast",57243,"henry","codington",44.88,-97.46,265
"northeast",57446,"hecla","brown",45.88,-98.15,216
"northeast",57242,"hazel","hamlin",44.76,-97.38,86
"northeast",57241,"hayti","hamlin",44.66,-97.2,383
"central",57537,"hayes","stanley",44.3716904187189,-101.021546321331,NA
"southeast",57033,"hartford","minnehaha",43.62,-96.94,3354
"central",57536,"harrold","hughes",44.52,-99.74,124
