"Region","ZIP_Code","City","County","lat","lon"
"central",57623,"dupree","ziebach",45.05,-101.6
"central",57625,"eagle butte","dewey",44.99,-101.23
"northeast",57232,"eden","marshall",45.62,-97.42
"west",57735,"edgemont","fall river",43.3,-103.83
"northeast",57024,"egan","moody",44,-96.65
"southeast",57025,"elk point","union",42.68,-96.68
"northeast",57026,"elkton","brookings",44.24,-96.48
"west",57706,"ellsworth afb","meade",44.1538298952842,-103.09018705767
"southeast",57332,"emery","hanson",43.6,-97.62
"west",57737,"enning","meade",44.5753490395878,-102.563021439186
"northeast",57233,"erwin","kingsbury",44.49,-97.44
"northeast",57234,"estelline","hamlin",44.58,-96.9
"southeast",57334,"ethan","davison",43.55,-97.98
"northeast",57437,"eureka","mcpherson",45.77,-99.62
"west",57738,"fairburn","custer",43.69,-103.21
"central",57335,"fairfax","gregory",43.03,-98.89
"southeast",57027,"fairview","lincoln",43.22,-96.49
"west",57626,"faith","meade",45.03,-102.04
"northeast",57438,"faulkton","faulk",45.03,-99.13
"southeast",57337,"fedora","miner",44.01,-97.79
"northeast",57439,"ferney","brown",45.33,-98.09
"northeast",57028,"flandreau","moody",44.05,-96.6
"northeast",57235,"florence","codington",45.05,-97.33
"west",57741,"fort meade","meade",44.4096217284008,-103.47131747301
"central",57532,"fort pierre","stanley",44.37,-100.38
"central",57339,"fort thompson","buffalo",44.05,-99.41
"northeast",57440,"frankfort","spink",44.88,-98.31
"northeast",57441,"frederick","brown",45.83,-98.51
"southeast",57029,"freeman","hutchinson",43.35,-97.43
"southeast",57340,"fulton","hanson",43.73,-97.82
"central",57341,"gann valley","buffalo",44.03,-98.99
"northeast",57236,"garden city","clark",44.9595438369227,-97.5803989889817
"southeast",57030,"garretson","minnehaha",43.71,-96.5
"northeast",57237,"gary","deuel",44.79,-96.46
"southeast",57031,"gayville","yankton",42.89,-97.17
"central",57342,"geddes","charles mix",43.25,-98.7
"central",57442,"gettysburg","potter",45.01,-99.95
"central",57630,"glencross","dewey",45.4482917050667,-100.921469299085
"central",57631,"glenham","walworth",45.53,-100.27
"northeast",57238,"goodwin","deuel",44.88,-96.85
"central",57533,"gregory","gregory",43.23,-99.42
"northeast",57239,"grenville","day",45.47,-97.39
"northeast",57445,"groton","brown",45.45,-98.1
"central",57534,"hamill","tripp",43.59,-99.69
"southeast",57032,"harrisburg","lincoln",43.43,-96.7
"southeast",57344,"harrison","douglas",43.43,-98.53
"central",57536,"harrold","hughes",44.52,-99.74
"southeast",57033,"hartford","minnehaha",43.62,-96.94
"central",57537,"hayes","stanley",44.3716904187189,-101.021546321331
"northeast",57241,"hayti","hamlin",44.66,-97.2
"northeast",57242,"hazel","hamlin",44.76,-97.38
"northeast",57446,"hecla","brown",45.88,-98.15
"northeast",57243,"henry","codington",44.88,-97.46
"west",57744,"hermosa","custer",43.84,-103.19
"central",57632,"herreid","campbell",45.84,-100.07
"central",57538,"herrick","gregory",43.12,-99.19
"central",57345,"highmore","hyde",44.52,-99.44
"west",57745,"hill city","pennington",43.93,-103.57
"northeast",57348,"hitchcock","beadle",44.63,-98.41
"central",57540,"holabird","hyde",44.5270410791622,-99.5983905896957
"northeast",57448,"hosmer","edmunds",45.58,-99.47
"west",57747,"hot springs","fall river",43.43,-103.48
"northeast",57449,"houghton","brown",45.7629880738032,-98.2104228370448
"central",57450,"hoven","potter",45.24,-99.78
"southeast",57349,"howard","miner",44.01,-97.52
"west",57748,"howes","meade",44.6185109925182,-102.051843490746
"southeast",57034,"hudson","lincoln",43.13,-96.46
"southeast",57035,"humboldt","minnehaha",43.64,-97.07
"southeast",57036,"hurley","turner",43.28,-97.09
"northeast",57350,"huron","beadle",44.36,-98.21
"northeast",57399,"huron","beadle",44.36,-98.21
"central",57541,"ideal","tripp",43.543359121331,-99.9217250031238
"west",57750,"interior","jackson",43.73,-101.98
"northeast",57451,"ipswich","edmunds",45.44,-99.03
"southeast",57037,"irene","clay",43.08,-97.16
"northeast",57353,"iroquois","kingsbury",44.37,-97.85
"central",57633,"isabel","dewey",45.39,-101.43
"central",57452,"java","walworth",45.5,-99.88
"southeast",57038,"jefferson","union",42.6,-96.57
"west",57543,"kadoka","jackson",43.83,-101.51
"southeast",57354,"kaylor","hutchinson",43.19,-97.84
"central",57634,"keldron","corson",45.9319753611175,-101.809625036678
"central",57544,"kennebec","lyman",43.9,-99.86
"west",57751,"keystone","pennington",43.9,-103.43
"central",57355,"kimball","brule",43.75,-98.96
"northeast",57245,"kranzburg","codington",44.89,-96.91
"west",57752,"kyle","oglala lakota",43.42,-102.18
"northeast",57246,"labolt","grant",45.0507815571933,-96.6784308479709
"central",57356,"lake andes","charles mix",43.16,-98.54
"northeast",57247,"lake city","marshall",45.7252331970597,-97.4132506903132
"northeast",57248,"lake norden","hamlin",44.58,-97.21
"northeast",57249,"lake preston","kingsbury",44.36,-97.38
"northeast",57358,"lane","jerauld",44.07,-98.42
"northeast",57454,"langford","marshall",45.6,-97.83
"central",57636,"lantry","dewey",45.0143937241708,-101.431758600017
"west",57754,"lead","lawrence",44.35,-103.77
"central",57455,"lebanon","potter",45.07,-99.77
"west",57638,"lemmon","perkins",45.94,-102.16
"southeast",57039,"lennox","lincoln",43.35,-96.89
"northeast",57456,"leola","mcpherson",45.72,-98.94
"southeast",57040,"lesterville","yankton",43.04,-97.59
"northeast",57359,"letcher","sanborn",43.9,-98.14
"central",57639,"little eagle","corson",45.68,-100.8
"west",57640,"lodgepole","perkins",45.7723734218112,-102.646803584475
"northeast",57457,"long lake","mcpherson",45.86,-99.21
"west",57547,"long valley","jackson",43.4631185498706,-101.495627371449
"central",57548,"lower brule","lyman",44.07,-99.58
"west",57755,"ludlow","harding",45.8343463857615,-103.376683389585
"southeast",57041,"lyons","minnehaha",43.7229410313699,-96.8714171913848
"southeast",57042,"madison","lake",44.01,-97.11
"west",57756,"manderson","oglala lakota",43.2351383242298,-102.470880292518
"northeast",57460,"mansfield","brown",45.25,-98.56
"southeast",57043,"marion","turner",43.42,-97.26
"west",57551,"martin","bennett",43.18,-101.73
"central",57361,"marty","charles mix",43,-98.43
"northeast",57251,"marvin","grant",45.26,-96.92
"central",57641,"mcintosh","corson",45.9214885176607,-101.349859504386
"central",57642,"mclaughlin","corson",45.8143482819614,-100.810824488523
"west",57644,"meadow","perkins",45.5309941878083,-102.27249553942
"northeast",57461,"mellette","spink",45.15,-98.5
"southeast",57045,"menno","hutchinson",43.24,-97.58
"west",57552,"midland","haakon",44.07,-101.16
"northeast",57252,"milbank","grant",45.22,-96.63
"west",57553,"milesville","haakon",44.4580691439088,-101.679355339841
"northeast",57362,"miller","hand",44.52,-98.99
"west",57555,"mission","todd",43.31,-100.66
"southeast",57046,"mission hill","yankton",42.92,-97.28
"southeast",57301,"mitchell","davison",43.73,-98.03
"central",57601,"mobridge","walworth",45.54,-100.44
"southeast",57047,"monroe","turner",43.49,-97.22
"southeast",57048,"montrose","mccook",43.7,-97.18
"central",57645,"morristown","corson",45.9378390740581,-101.719152880495
"central",57646,"mound city","campbell",45.7263431449825,-100.068994841887
"southeast",57363,"mount vernon","davison",43.71,-98.26
"west",57758,"mud butte","meade",45.0046185824886,-102.878055561397
"west",57559,"murdo","jones",43.89,-100.71
"west",57759,"nemo","lawrence",44.194304760192,-103.504869109719
"northeast",57255,"new effington","roberts",45.86,-96.92
"southeast",57364,"new holland","douglas",43.43,-98.61
"west",57761,"new underwood","pennington",44.1,-102.84
"west",57760,"newell","butte",44.72,-103.42
"west",57762,"nisland","butte",44.67,-103.55
"west",57560,"norris","mellette",43.47,-101.19
"southeast",57049,"north sioux city","union",42.5365744123823,-96.4963464955279
"northeast",57465,"northville","spink",45.16,-98.58
"southeast",57050,"nunda","lake",44.16,-97.02
"central",57365,"oacoma","lyman",43.8,-99.37
"west",57763,"oelrichs","fall river",43.18,-103.23
"west",57764,"oglala","oglala lakota",43.18,-102.73
"west",57562,"okaton","jones",43.86,-100.9
"west",57563,"okreek","todd",43.35,-100.38
"northeast",57051,"oldham","kingsbury",44.23,-97.31
"southeast",57052,"olivet","hutchinson",43.24,-97.67
"northeast",57466,"onaka","faulk",45.19,-99.47
"central",57564,"onida","sully",44.7,-100.07
"west",57766,"oral","fall river",43.4051150320421,-103.268987928256
"northeast",57467,"orient","hand",44.9,-99.09
"northeast",57256,"ortley","roberts",45.33,-97.2
"west",57767,"owanka","pennington",44.0223007904464,-102.587690532801
"southeast",57053,"parker","turner",43.4,-97.13
"southeast",57366,"parkston","hutchinson",43.39,-97.99
"west",57566,"parmelee","todd",43.32,-101.04
"northeast",57257,"peever","roberts",45.54,-96.96
"west",57567,"philip","haakon",44.04,-101.66
"central",57367,"pickstown","charles mix",43.0673170111043,-98.5312430223111
"west",57769,"piedmont","meade",44.22,-103.38
"northeast",57468,"pierpont","day",45.5,-97.83
"central",57501,"pierre","hughes",44.37,-100.32
"west",57770,"pine ridge","oglala lakota",43.03,-102.55
"central",57368,"plankinton","aurora",43.72,-98.48
"central",57369,"platte","charles mix",43.39,-98.84
"central",57648,"pollock","campbell",45.9,-100.29
"west",57772,"porcupine","oglala lakota",43.27,-102.34
"west",57649,"prairie city","perkins",45.530210032312,-102.807880244477
"central",57568,"presho","lyman",43.91,-100.06
"west",57773,"pringle","custer",43.61,-103.59
"central",57370,"pukwana","brule",43.78,-99.18
"west",57775,"quinn","pennington",43.99,-102.13
"west",57650,"ralph","harding",45.7768742336214,-103.066218498375
"southeast",57054,"ramona","lake",44.12,-97.22
"west",57701,"rapid city","pennington",44.07,-103.22
"west",57702,"rapid city","pennington",44.07,-103.22
"west",57703,"rapid city","pennington",44.07,-103.22
"west",57709,"rapid city","pennington",44.07,-103.22
"northeast",57258,"raymond","clark",44.91,-97.94
"northeast",57469,"redfield","spink",44.87,-98.52
"west",57776,"redig","harding",45.2714936344637,-103.548375168786
"northeast",57371,"ree heights","hand",44.52,-99.2
"central",57569,"reliance","lyman",43.88,-99.6
"southeast",57055,"renner","minnehaha",43.645337527329,-96.7113806998142
"west",57651,"reva","harding",45.5452403569356,-103.084466468196
"northeast",57259,"revillo","grant",45.02,-96.57
"central",57652,"ridgeview","dewey",45.0850111129548,-100.800635299866
"northeast",57470,"rockham","faulk",44.9,-98.82
"northeast",57471,"roscoe","edmunds",45.45,-99.34
"west",57570,"rosebud","todd",43.24,-100.82
"northeast",57260,"rosholt","roberts",45.87,-96.73
"northeast",57261,"roslyn","day",45.5,-97.49
