"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"Black Hills and Badlands",57752,"kyle","oglala lakota",43.42,-102.18,1093
"Glacial Lakes & Prairies",57246,"labolt","grant",45.0507815571933,-96.6784308479709,90
"Missouri River",57356,"lake andes","charles mix",43.16,-98.54,821
"Glacial Lakes & Prairies",57247,"lake city","marshall",45.7252331970597,-97.4132506903132,52
"Glacial Lakes & Prairies",57248,"lake norden","hamlin",44.58,-97.21,522
"Glacial Lakes & Prairies",57249,"lake preston","kingsbury",44.36,-97.38,555
"Glacial Lakes & Prairies",57358,"lane","jerauld",44.07,-98.42,60
"Glacial Lakes & Prairies",57454,"langford","marshall",45.6,-97.83,326
"Missouri River",57636,"lantry","dewey",45.0143937241708,-101.431758600017,185
"Black Hills and Badlands",57754,"lead","lawrence",44.35,-103.77,2943
"Missouri River",57455,"lebanon","potter",45.07,-99.77,43
"Black Hills and Badlands",57638,"lemmon","perkins",45.94,-102.16,1174
"Southeast",57039,"lennox","lincoln",43.35,-96.89,2479
"Glacial Lakes & Prairies",57456,"leola","mcpherson",45.72,-98.94,427
"Southeast",57040,"lesterville","yankton",43.04,-97.59,131
"Glacial Lakes & Prairies",57359,"letcher","sanborn",43.9,-98.14,176
"Missouri River",57639,"little eagle","corson",45.68,-100.8,319
"Black Hills and Badlands",57640,"lodgepole","perkins",45.7723734218112,-102.646803584475,43
"Glacial Lakes & Prairies",57457,"long lake","mcpherson",45.86,-99.21,31
"Black Hills and Badlands",57547,"long valley","jackson",43.4631185498706,-101.495627371449,133
"Missouri River",57548,"lower brule","lyman",44.07,-99.58,613
"Black Hills and Badlands",57755,"ludlow","harding",45.8343463857615,-103.376683389585,135
"Southeast",57041,"lyons","minnehaha",43.7229410313699,-96.8714171913848,629
"Southeast",57042,"madison","lake",44.01,-97.11,7270
"Black Hills and Badlands",57756,"manderson","oglala lakota",43.2351383242298,-102.470880292518,279
"Glacial Lakes & Prairies",57460,"mansfield","brown",45.25,-98.56,165
"Southeast",57043,"marion","turner",43.42,-97.26,780
"Black Hills and Badlands",57551,"martin","bennett",43.18,-101.73,1045
"Missouri River",57361,"marty","charles mix",43,-98.43,402
"Glacial Lakes & Prairies",57251,"marvin","grant",45.26,-96.92,29
"Missouri River",57641,"mcintosh","corson",45.9214885176607,-101.349859504386,167
"Missouri River",57642,"mclaughlin","corson",45.8143482819614,-100.810824488523,653
"Black Hills and Badlands",57644,"meadow","perkins",45.5309941878083,-102.27249553942,15
"Glacial Lakes & Prairies",57461,"mellette","spink",45.15,-98.5,214
"Southeast",57045,"menno","hutchinson",43.24,-97.58,614
"Black Hills and Badlands",57552,"midland","haakon",44.07,-101.16,127
"Glacial Lakes & Prairies",57252,"milbank","grant",45.22,-96.63,3103
"Black Hills and Badlands",57553,"milesville","haakon",44.4580691439088,-101.679355339841,316
"Glacial Lakes & Prairies",57362,"miller","hand",44.52,-98.99,1334
"Black Hills and Badlands",57555,"mission","todd",43.31,-100.66,1257
"Southeast",57046,"mission hill","yankton",42.92,-97.28,164
"Southeast",57301,"mitchell","davison",43.73,-98.03,15679
"Missouri River",57601,"mobridge","walworth",45.54,-100.44,3444
"Southeast",57047,"monroe","turner",43.49,-97.22,155
"Southeast",57048,"montrose","mccook",43.7,-97.18,443
"Missouri River",57645,"morristown","corson",45.9378390740581,-101.719152880495,68
"Missouri River",57646,"mound city","campbell",45.7263431449825,-100.068994841887,66
"Southeast",57363,"mount vernon","davison",43.71,-98.26,436
"Black Hills and Badlands",57758,"mud butte","meade",45.0046185824886,-102.878055561397,89
"Black Hills and Badlands",57559,"murdo","jones",43.89,-100.71,438
"Black Hills and Badlands",57759,"nemo","lawrence",44.194304760192,-103.504869109719,546
"Glacial Lakes & Prairies",57255,"new effington","roberts",45.86,-96.92,249
"Southeast",57364,"new holland","douglas",43.43,-98.61,0
"Black Hills and Badlands",57761,"new underwood","pennington",44.1,-102.84,673
"Black Hills and Badlands",57760,"newell","butte",44.72,-103.42,597
"Black Hills and Badlands",57762,"nisland","butte",44.67,-103.55,225
"Black Hills and Badlands",57560,"norris","mellette",43.47,-101.19,197
"Southeast",57049,"north sioux city","union",42.5365744123823,-96.4963464955279,2928
"Glacial Lakes & Prairies",57465,"northville","spink",45.16,-98.58,145
"Southeast",57050,"nunda","lake",44.16,-97.02,51
"Missouri River",57365,"oacoma","lyman",43.8,-99.37,471
"Black Hills and Badlands",57763,"oelrichs","fall river",43.18,-103.23,123
"Black Hills and Badlands",57764,"oglala","oglala lakota",43.18,-102.73,1612
"Black Hills and Badlands",57562,"okaton","jones",43.86,-100.9,44
"Black Hills and Badlands",57563,"okreek","todd",43.35,-100.38,245
"Glacial Lakes & Prairies",57051,"oldham","kingsbury",44.23,-97.31,120
"Southeast",57052,"olivet","hutchinson",43.24,-97.67,71
"Glacial Lakes & Prairies",57466,"onaka","faulk",45.19,-99.47,14
"Missouri River",57564,"onida","sully",44.7,-100.07,634
"Black Hills and Badlands",57766,"oral","fall river",43.4051150320421,-103.268987928256,192
"Glacial Lakes & Prairies",57467,"orient","hand",44.9,-99.09,44
"Glacial Lakes & Prairies",57256,"ortley","roberts",45.33,-97.2,64
"Black Hills and Badlands",57767,"owanka","pennington",44.0223007904464,-102.587690532801,16
"Southeast",57053,"parker","turner",43.4,-97.13,1023
"Southeast",57366,"parkston","hutchinson",43.39,-97.99,1477
"Black Hills and Badlands",57566,"parmelee","todd",43.32,-101.04,717
"Glacial Lakes & Prairies",57257,"peever","roberts",45.54,-96.96,164
"Black Hills and Badlands",57567,"philip","haakon",44.04,-101.66,765
"Missouri River",57367,"pickstown","charles mix",43.0673170111043,-98.5312430223111,223
"Black Hills and Badlands",57769,"piedmont","meade",44.22,-103.38,903
"Glacial Lakes & Prairies",57468,"pierpont","day",45.5,-97.83,120
"Missouri River",57501,"pierre","hughes",44.37,-100.32,13646
"Black Hills and Badlands",57770,"pine ridge","oglala lakota",43.03,-102.55,3682
"Missouri River",57368,"plankinton","aurora",43.72,-98.48,730
"Missouri River",57369,"platte","charles mix",43.39,-98.84,1258
"Missouri River",57648,"pollock","campbell",45.9,-100.29,225
"Black Hills and Badlands",57772,"porcupine","oglala lakota",43.27,-102.34,1470
"Black Hills and Badlands",57649,"prairie city","perkins",45.530210032312,-102.807880244477,4
"Missouri River",57568,"presho","lyman",43.91,-100.06,489
"Black Hills and Badlands",57773,"pringle","custer",43.61,-103.59,113
"Missouri River",57370,"pukwana","brule",43.78,-99.18,305
"Black Hills and Badlands",57775,"quinn","pennington",43.99,-102.13,61
"Black Hills and Badlands",57650,"ralph","harding",45.7768742336214,-103.066218498375,35
"Southeast",57054,"ramona","lake",44.12,-97.22,206
"Black Hills and Badlands",57701,"rapid city","pennington",44.07,-103.22,77503
"Glacial Lakes & Prairies",57258,"raymond","clark",44.91,-97.94,54
"Glacial Lakes & Prairies",57469,"redfield","spink",44.87,-98.52,2273
"Black Hills and Badlands",57776,"redig","harding",45.2714936344637,-103.548375168786,5
"Glacial Lakes & Prairies",57371,"ree heights","hand",44.52,-99.2,58
"Missouri River",57569,"reliance","lyman",43.88,-99.6,212
"Southeast",57055,"renner","minnehaha",43.645337527329,-96.7113806998142,1019
"Black Hills and Badlands",57651,"reva","harding",45.5452403569356,-103.084466468196,142
"Glacial Lakes & Prairies",57259,"revillo","grant",45.02,-96.57,105
"Missouri River",57652,"ridgeview","dewey",45.0850111129548,-100.800635299866,364
"Glacial Lakes & Prairies",57470,"rockham","faulk",44.9,-98.82,33
"Glacial Lakes & Prairies",57471,"roscoe","edmunds",45.45,-99.34,289
"Black Hills and Badlands",57570,"rosebud","todd",43.24,-100.82,1703
"Glacial Lakes & Prairies",57260,"rosholt","roberts",45.87,-96.73,429
"Glacial Lakes & Prairies",57261,"roslyn","day",45.5,-97.49,168
"Southeast",57057,"rutland","lake",44.0895508930907,-96.9670791645685,202
"Missouri River",57571,"saint charles","gregory",43.09,-99.09,11
"Black Hills and Badlands",57572,"saint francis","todd",43.14,-100.9,654
"Glacial Lakes & Prairies",57373,"saint lawrence","hand",44.52,-98.94,202
"Black Hills and Badlands",57779,"saint onge","lawrence",44.55,-103.72,112
"Southeast",57058,"salem","mccook",43.72,-97.39,1285
"Black Hills and Badlands",57780,"scenic","pennington",43.7796797321183,-102.554879904907,56
"Southeast",57059,"scotland","bon homme",43.15,-97.72,804
"Missouri River",57472,"selby","walworth",45.51,-100.03,627
"Glacial Lakes & Prairies",57473,"seneca","faulk",45.06,-99.51,37
"Glacial Lakes & Prairies",57061,"sinai","brookings",44.24,-97.04,124
"Southeast",57101,"sioux falls","minnehaha",43.54,-96.73,183793
"Glacial Lakes & Prairies",57262,"sisseton","roberts",45.66,-97.05,2398
"Black Hills and Badlands",57782,"smithwick","fall river",43.301584487639,-103.218468503627,64
"Glacial Lakes & Prairies",57263,"south shore","codington",45.1,-96.93,215
"Black Hills and Badlands",57783,"spearfish","lawrence",44.49,-103.82,11756
"Black Hills and Badlands",57799,"spearfish","lawrence",44.49,-103.82,11756
"Southeast",57374,"spencer","mccook",43.73,-97.59,147
"Southeast",57062,"springfield","bon homme",42.86,-97.9,1922
"Missouri River",57346,"stephan","hyde",44.2483171843904,-99.4531221096057,40
"Missouri River",57375,"stickney","aurora",43.59,-98.44,272
"Glacial Lakes & Prairies",57264,"stockholm","grant",45.1,-96.8,107
"Glacial Lakes & Prairies",57265,"strandburg","grant",45.04,-96.76,70
"Glacial Lakes & Prairies",57474,"stratford","brown",45.32,-98.3,74
"Black Hills and Badlands",57785,"sturgis","meade",44.41,-103.52,6922
"Glacial Lakes & Prairies",57266,"summit","roberts",45.31,-97.04,289
"Southeast",57063,"tabor","bon homme",42.95,-97.66,402
"Southeast",57064,"tea","lincoln",43.45,-96.83,6031
"Missouri River",57656,"timber lake","dewey",45.43,-101.07,499
"Missouri River",57475,"tolstoy","potter",45.21,-99.61,36
"Glacial Lakes & Prairies",57268,"toronto","deuel",44.57,-96.64,209
"Missouri River",57657,"trail city","corson",45.4735608871222,-100.724225442603,229
"Glacial Lakes & Prairies",57065,"trent","moody",43.91,-96.66,230
"Southeast",57376,"tripp","hutchinson",43.23,-97.97,623
"Glacial Lakes & Prairies",57476,"tulare","spink",44.74,-98.51,211
"Glacial Lakes & Prairies",57477,"turton","spink",45.05,-98.1,49
"Black Hills and Badlands",57574,"tuthill","bennett",43.1557372952368,-101.493889273249,100
"Glacial Lakes & Prairies",57269,"twin brooks","grant",45.21,-96.79,70
"Southeast",57066,"tyndall","bon homme",42.99,-97.86,1022
"Black Hills and Badlands",57787,"union center","meade",44.5607887349764,-102.669465470303,381
"Southeast",57067,"utica","yankton",42.98,-97.5,67
"Black Hills and Badlands",57788,"vale","butte",44.62,-103.4,115
"Southeast",57068,"valley springs","minnehaha",43.58,-96.47,730
"Glacial Lakes & Prairies",57270,"veblen","marshall",45.86,-97.29,537
"Southeast",57069,"vermillion","clay",42.78,-96.92,10926
"Southeast",57070,"viborg","turner",43.17,-97.08,767
"Glacial Lakes & Prairies",57271,"vienna","clark",44.7,-97.5,45
"Glacial Lakes & Prairies",57379,"virgil","beadle",44.29,-98.43,18
"Missouri River",57576,"vivian","lyman",43.93,-100.3,119
"Glacial Lakes & Prairies",57071,"volga","brookings",44.32,-96.92,2028
"Southeast",57072,"volin","yankton",42.96,-97.18,163
"Missouri River",57380,"wagner","charles mix",43.08,-98.29,1547
"Southeast",57073,"wakonda","clay",43.01,-97.11,294
"Missouri River",57658,"wakpala","corson",45.6558936167815,-100.536151741766,308
"Missouri River",57659,"walker","corson",45.9103060727448,-101.090453136725,2
"Black Hills and Badlands",57790,"wall","pennington",43.99,-102.24,875
"Glacial Lakes & Prairies",57272,"wallace","codington",45.08,-97.48,87
"Black Hills and Badlands",57577,"wanblee","jackson",43.57,-101.66,975
"Glacial Lakes & Prairies",57479,"warner","brown",45.33,-98.5,468
"Black Hills and Badlands",57791,"wasta","pennington",44.07,-102.45,82
"Missouri River",57660,"watauga","corson",45.9227479098723,-101.542953636698,38
"Glacial Lakes & Prairies",57201,"watertown","codington",44.8993260709382,-97.1255263360403,22174
"Glacial Lakes & Prairies",57273,"waubay","day",45.33,-97.31,560
"Glacial Lakes & Prairies",57274,"webster","day",45.34,-97.52,1726
"Southeast",57075,"wentworth","lake",43.9967938505089,-96.9642218219603,194
"Glacial Lakes & Prairies",57381,"wessington","beadle",44.46,-98.7,177
"Glacial Lakes & Prairies",57382,"wessington springs","jerauld",44.08,-98.57,911
"Glacial Lakes & Prairies",57481,"westport","brown",45.65,-98.5,133
"Glacial Lakes & Prairies",57276,"white","brookings",44.44,-96.65,489
"Missouri River",57383,"white lake","aurora",43.73,-98.71,369
"Black Hills and Badlands",57792,"white owl","meade",44.5923619169,-102.430935700917,194
"Black Hills and Badlands",57579,"white river","mellette",43.57,-100.74,574
"Missouri River",57661,"whitehorse","dewey",45.27,-100.9,141
"Black Hills and Badlands",57793,"whitewood","lawrence",44.46,-103.64,979
"Glacial Lakes & Prairies",57278,"willow lake","clark",44.63,-97.64,243
"Glacial Lakes & Prairies",57279,"wilmot","roberts",45.41,-96.86,501
"Southeast",57076,"winfred","lake",44,-97.36,56
"Missouri River",57580,"winner","tripp",43.38,-99.85,2824
"Missouri River",57584,"witten","tripp",43.4405003050316,-100.081935687082,61
"Glacial Lakes & Prairies",57384,"wolsey","beadle",44.41,-98.47,399
"Black Hills and Badlands",57585,"wood","mellette",43.5,-100.48,63
"Glacial Lakes & Prairies",57385,"woonsocket","sanborn",44.05,-98.27,648
"Southeast",57077,"worthing","lincoln",43.33,-96.77,1007
"Black Hills and Badlands",57794,"wounded knee","oglala lakota",43.14,-102.37,470
"Glacial Lakes & Prairies",57386,"yale","beadle",44.43,-97.99,115
"Southeast",57078,"yankton","yankton",42.89,-97.39,14687
