"Region","ZIP_Code","City","County","lat","lon"
"southeast",57034,"hudson","lincoln",43.13,-96.46
"southeast",57039,"lennox","lincoln",43.35,-96.89
"southeast",57064,"tea","lincoln",43.45,-96.83
"southeast",57077,"worthing","lincoln",43.33,-96.77
"southeast",57108,"sioux falls","lincoln",43.54,-96.73
"southeast",57012,"canistota","mccook",43.6,-97.29
"southeast",57048,"montrose","mccook",43.7,-97.18
"southeast",57058,"salem","mccook",43.72,-97.39
"southeast",57319,"bridgewater","mccook",43.55,-97.5
"southeast",57374,"spencer","mccook",43.73,-97.59
"southeast",57321,"canova","miner",43.88,-97.5
"southeast",57323,"carthage","miner",44.17,-97.71
"southeast",57337,"fedora","miner",44.01,-97.79
"southeast",57349,"howard","miner",44.01,-97.52
"southeast",57003,"baltic","minnehaha",43.76,-96.74
"southeast",57005,"brandon","minnehaha",43.59,-96.58
"southeast",57018,"colton","minnehaha",43.79,-96.93
"southeast",57020,"crooks","minnehaha",43.66,-96.81
"southeast",57022,"dell rapids","minnehaha",43.83,-96.72
"southeast",57030,"garretson","minnehaha",43.71,-96.5
"southeast",57033,"hartford","minnehaha",43.62,-96.94
"southeast",57035,"humboldt","minnehaha",43.64,-97.07
"southeast",57041,"lyons","minnehaha",NA,NA
"southeast",57055,"renner","minnehaha",NA,NA
"southeast",57068,"valley springs","minnehaha",43.58,-96.47
"southeast",57101,"sioux falls","minnehaha",43.54,-96.73
"southeast",57103,"sioux falls","minnehaha",43.54,-96.73
"southeast",57104,"sioux falls","minnehaha",43.54,-96.73
"southeast",57105,"sioux falls","minnehaha",43.54,-96.73
"southeast",57106,"sioux falls","minnehaha",43.54,-96.73
"southeast",57107,"sioux falls","minnehaha",43.54,-96.73
"southeast",57109,"sioux falls","minnehaha",43.54,-96.73
"southeast",57110,"sioux falls","minnehaha",43.54,-96.73
"southeast",57117,"sioux falls","minnehaha",43.54,-96.73
"southeast",57118,"sioux falls","minnehaha",43.54,-96.73
"southeast",57186,"sioux falls","minnehaha",43.54,-96.73
"southeast",57193,"sioux falls","minnehaha",43.54,-96.73
"southeast",57197,"sioux falls","minnehaha",43.54,-96.73
"southeast",57198,"sioux falls","minnehaha",43.54,-96.73
"southeast",57014,"centerville","turner",43.12,-96.96
"southeast",57015,"chancellor","turner",43.37,-96.99
"southeast",57021,"davis","turner",43.26,-96.99
"southeast",57036,"hurley","turner",43.28,-97.09
"southeast",57043,"marion","turner",43.42,-97.26
"southeast",57047,"monroe","turner",43.49,-97.22
"southeast",57053,"parker","turner",43.4,-97.13
"southeast",57070,"viborg","turner",43.17,-97.08
"southeast",57001,"alcester","union",43.02,-96.63
"southeast",57004,"beresford","union",43.08,-96.78
"southeast",57025,"elk point","union",42.68,-96.68
"southeast",57038,"jefferson","union",42.6,-96.57
"southeast",57049,"north sioux city","union",NA,NA
"southeast",57031,"gayville","yankton",42.89,-97.17
